Price,Make,Milage,Year,Body_Sytle,City,State
31865,Chevrolet,1900,2020,Sedan,Brunswick,ME
31535,Nissan,20835,2017,SUV,Swarthmore,PA
28713,Toyota,0,2020,Extended Cab Pickup,Thorndale,PA
10995,Hyundai,121271,2015,Hatchback,District Heights,MD
21601,Jeep,5052,2019,SUV,ASHEVILLE,NC
26135,Buick,33,2020,SUV,Dallas,GA
19960,Toyota,29226,2019,Hatchback,Raleigh,NC
27751,Toyota,11,2020,Sedan,Buford,GA
18960,Honda,28257,2017,SUV,Norfolk,VA
6750,Kia,60000,2010,Coupe,Roanoke,VA
40893,Toyota,0,2020,SUV,Orlando,FL
18209,Hyundai,6,2020,Sedan,Hurlock,MD
61990,Audi,6837,2019,SUV,Tampa,FL
42980,Jaguar,28768,2019,SUV,Burlington,VT
13999,Buick,19328,2017,Sedan,Orlando,FL
45232,Ford,7443,2019,Crew Cab Pickup,Edgefield,SC
34035,Dodge,1,2019,Minivan,Columbiana,OH
28818.3103,GMC,2544,2020,SUV,Fairless Hills,PA
35895,Audi,30888,2018,SUV,Marietta,GA
15990,Hyundai,16040,2017,Sedan,Greenville,SC
15298,Toyota,28653,2018,Hatchback,Miami,FL
29820,Audi,13430,2019,Sedan,Vienna,VA
36521,Ford,150,2020,SUV,Baltimore,MD
65900,Volvo,0,2020,Wagon,Tampa,FL
18995,Chrysler,43748,2017,Passenger Van,Chambersburg,PA
21981,Buick,33743,2017,SUV,Griffin,GA
20557,Toyota,3,2020,Sedan,Scottsboro,AL
14590,Toyota,93029,2017,Sedan,Allentown,PA
37284,Mitsubishi,18,2020,SUV,Fredricksburg,VA
19991,Nissan,32686,2017,SUV,Topsham,ME
12000,Ford,30279,2019,Sedan,Orlando,FL
12599,Ford,48700,2014,Hatchback,Davie,FL
233900,Porsche,1594,2019,Coupe,Pompano Beach,FL
16670,Volkswagen,31072,2019,Sedan,Birmingham,AL
16452,Kia,13,2020,Sedan,Orlando,FL
28818.3103,Dodge,106143,2001,Crew Cab Pickup,Johnson City,TN
21252,Kia,2348,2020,Sedan,Anniston,AL
17838,Nissan,4,2020,SUV,Harrisburg,PA
7977,Chevrolet,83371,2011,Sedan,Albany,GA
20806,Hyundai,3,2020,Sedan,Hyannis,MA
18974,Ford,29611,2017,SUV,Columbia,TN
21788,Chevrolet,92638,2011,SUV,Summerville,SC
13900,Jeep,40390,2015,SUV,Myerstown,PA
12990,Chrysler,55960,2015,Sedan,Binghamton,NY
12998,Ford,20000,2018,Sedan,Bristol,TN
61204,RAM,13,2019,Crew Cab Pickup,Davie,FL
27399,Chevrolet,71824,2014,Crew Cab Pickup,Charleston,WV
38490,Toyota,8024,2019,Crew Cab Pickup,Sarasota,FL
15952,Chevrolet,31645,2017,SUV,Fort Myers,FL
21080,Hyundai,23145,2019,SUV,Hagerstown,MD
71524,BMW,42784,2017,Sedan,Springfield,TN
34990,BMW,16726,2019,SUV,Trenton,NJ
35497,Audi,4620,2018,Sedan,Charlotte,NC
61045,RAM,10,2020,Crew Cab Pickup,Warwick,NY
42455,Toyota,5,2020,SUV,Staten Island,NY
6750,Kia,129400,2013,SUV,Stony Brook,NY
16895,Chevrolet,35489,2019,Sedan,Manassas,VA
15803,Volkswagen,32908,2017,Sedan,Hanover,PA
24482,Ford,40149,2019,SUV,Owings Mills,MD
52900,Cadillac,31357,2017,SUV,Hamburg,NY
25900,Cadillac,35527,2017,SUV,Duluth,GA
34900,Chevrolet,56742,2017,Crew Cab Pickup,Greensboro,NC
10981,MINI,45815,2013,Hatchback,Devon,PA
17700,Nissan,24015,2019,SUV,New Port Richey,FL
37238,Nissan,3,2020,SUV,Huntington Station,NY
7528,Hyundai,153305,2013,Sedan,Crestview,FL
5481,Ford,89675,2015,Sedan,Arlington,VA
23750,Kia,67,2020,SUV,Lithonia,GA
28652,Nissan,1,2020,Sedan,Allentown,PA
19590,GMC,31200,2017,SUV,Smiths Station,AL
18500,GMC,91747,2017,SUV,Marianna,FL
98888,Mercedes-Benz,6908,2017,Convertible,Hollywood,FL
22225,Chevrolet,46521,2018,SUV,Orange,VA
36597,Audi,13688,2019,Hatchback,West Chester,PA
28995,Ford,2398,2014,Coupe,Victor,NY
13599,Buick,48591,2013,SUV,Orlando,FL
89900,Bentley,27593,2011,Sedan,Pompano Beach,FL
28818.3103,Audi,15183,2018,SUV,Mobile,AL
18999,Ford,112312,2011,Crew Cab Pickup,Harrisburg,PA
21754,Volvo,6850,2018,Sedan,Winston Salem,NC
15590,Chevrolet,45130,2016,Sedan,Waterford,PA
24328,Mazda,6,2020,SUV,Delray Beach,FL
14990,Chevrolet,31734,2017,Hatchback,Philadelphia,PA
13395,Nissan,26685,2018,Sedan,Franklin,VA
24498,Honda,18328,2018,SUV,Pensacola,FL
16178,Buick,98277,2014,SUV,Fuquay-Varina,NC
159900,Porsche,67724,1987,Convertible,Lake Park,FL
19590,Chevrolet,19459,2018,SUV,Jacksonville,FL
93505,Cadillac,0,2020,SUV,williamsville,NY
19495,Dodge,37105,2019,Minivan,Philadelphia,PA
18555,Kia,49093,2018,SUV,Warren,OH
38990,BMW,17661,2019,SUV,Norfolk,VA
32020,Ford,0,2020,SUV,Harrisonburg,VA
7312,Toyota,105219,2006,SUV,Bradenton,FL
31991,Ford,15670,2020,Crew Cab Pickup,Port Richey,FL
28818.3103,Honda,152,2020,SUV,White River Junction,VT
16900,Nissan,61000,2016,SUV,Poughkeepsie,NY
26814,Chevrolet,1,2020,SUV,Latrobe,PA
16489,Scion,19293,2016,Hatchback,Christiansburg,VA
13988,Mazda,38890,2017,Sedan,Palm Beach Gardens,FL
39610,Ford,14,2020,Cargo Van,Heidelberg,PA
21560,Kia,23704,2017,Sedan,Bethesda,MD
23470,Toyota,1,2020,Sedan,Waldorf,MD
41530,Jeep,0,2020,SUV,Levittown,NY
45995,Toyota,14068,2019,SUV,Springfield,VA
20590,Ford,27723,2017,SUV,Miami Springs,FL
20689,Ford,50,2020,Sedan,Apopka,FL
13590,Nissan,43674,2017,Sedan,Norfolk,VA
37998,Porsche,43871,2017,SUV,Sterling,VA
40912,Jeep,15,2020,SUV,Mt Pocono,PA
14672,Nissan,14680,2017,Sedan,White Plains,NY
16997,Chevrolet,26877,2017,Hatchback,Charleston,SC
27890,Chevrolet,34925,2018,SUV,Anderson,SC
18540,Cadillac,59308,2015,SUV,Hillsborough,NC
28818.3103,Nissan,29214,2017,SUV,Moosic,PA
43565,Chevrolet,23,2020,SUV,Poughkeepsie,NY
11990,Dodge,47287,2015,Sedan,Orange City,FL
22544,Chevrolet,28,2020,SUV,Fort Pierce,FL
16990,Nissan,30916,2017,SUV,Gouldsboro,PA
36810,Acura,21419,2019,SUV,Miami,FL
27021,Ford,6,2020,Regular Cab Pickup,Jacksonville,FL
16990,Nissan,23305,2017,SUV,Knoxville,TN
16590,Ford,61247,2017,Sedan,Tuscaloosa,AL
20752,Jeep,3090,2020,SUV,Fort Payne,AL
30500,Toyota,36364,2017,SUV,Athens,OH
15750,Honda,38390,2013,SUV,Chesapeake,VA
76885,Land Rover,8,2020,SUV,North Miami,FL
40990,RAM,14,2020,Crew Cab Pickup,Newton,NC
23531,BMW,63010,2014,Convertible,Ocala,FL
13998,Chevrolet,29189,2017,Sedan,Clearwater,FL
23071,Jeep,0,2020,SUV,Warrenton,VA
22875,Honda,26003,2018,Sedan,Great Neck,NY
26795,Hyundai,3270,2020,Sedan,Long Island City,NY
39225,Nissan,5,2020,Coupe,Franklin,TN
32600,Kia,6,2021,SUV,Midlothian,VA
13590,Nissan,32181,2019,Sedan,Tuscaloosa,AL
32920,Kia,1,2020,SUV,Wilmington,NC
10850,Ford,115185,2015,SUV,Bronx,NY
13990,Hyundai,33938,2017,Sedan,Bessemer,AL
61100,Chevrolet,51,2020,Crew Cab Pickup,Lakeland,FL
52382,RAM,0,2020,Crew Cab Pickup,Vienna,VA
76125,Ford,19,2020,Crew Cab Pickup,Lansdale,PA
27990,Subaru,23934,2019,SUV,Philadelphia,PA
28818.3103,Hyundai,92180,2015,Hatchback,Spartanburg,SC
23151,Chevrolet,4,2020,SUV,Belle Vernon,PA
21030,Hyundai,10,2020,Sedan,Jasper,AL
18900,Ford,44751,2018,SUV,Lewisburg,PA
29998,Jeep,20586,2017,SUV,Charlotte,NC
24999,Dodge,14902,2019,Coupe,Orlando,FL
9935,Honda,135431,2011,SUV,Richmond,VA
24975,Honda,0,2020,Sedan,Duluth,GA
29883,Acura,6408,2020,Sedan,Ocala,FL
58840,Buick,0,2020,SUV,Summerville,SC
83199,Ford,5,2020,Crew Cab Pickup,Tampa,FL
26065,Hyundai,8,2020,Sedan,Ocala,FL
22477,Nissan,25076,2017,SUV,Goldsboro,NC
50990,Cadillac,10906,2020,SUV,Brandon,FL
56990,RAM,25,2020,Crew Cab Pickup,Huntsville,AL
59180,Ford,4702,2020,Crew Cab Pickup,Tampa,FL
46970,Dodge,14,2020,SUV,Greenwich,NY
28818.3103,Kia,0,2020,SUV,Belle Vernon,PA
41900,Chevrolet,28024,2019,SUV,Hagerstown,MD
37371,GMC,89867,2015,SUV,Jacksonville,NC
72095,Ford,9,2020,SUV,St Augustine,FL
36980,Cadillac,19096,2009,Sedan,Wesley Chapel,FL
32763,Toyota,5,2020,Sedan,Mamaroneck,NY
32995,MINI,2362,2020,SUV,Miami,FL
32990,Ford,17210,2017,Coupe,Morristown,TN
37834,Jeep,0,2020,SUV,Jasper,GA
21490,Ford,2500,2018,Regular Cab Pickup,Punta Gorda,FL
9989,Ford,103186,2014,Sedan,Christiansburg,VA
26481,Audi,33389,2017,Sedan,Flemington,NJ
33140,Jeep,0,2020,SUV,Jericho,NY
23500,Nissan,5362,2020,Sedan,Virginia Beach,VA
28818.3103,Hyundai,21386,2018,Sedan,Miami Gardens,FL
19235,Kia,35708,2017,SUV,Orchard Park,NY
12090,Kia,42780,2019,Sedan,Bronx,NY
45495,BMW,10,2020,Sedan,Miami,FL
33995,Jeep,43044,2017,SUV,Cumming,GA
28590,Toyota,38646,2016,SUV,Atlanta,GA
12452,Ford,88206,2016,SUV,Orchard Park,NY
25300,Kia,4931,2020,SUV,South Chesterfield,VA
8790,Hyundai,87677,2016,Sedan,Marietta,GA
23990,Chrysler,27504,2019,Sedan,Orange City,FL
48905,Cadillac,727,2020,Sedan,Freeport,NY
11990,Nissan,43764,2016,Sedan,Barnstable Town,MA
28818.3103,Ford,148525,2013,Sedan,Ramsey,NJ
46997,Lexus,35385,2017,Sedan,Miami,FL
13650,Nissan,38681,2018,Sedan,Norfolk,VA
33995,Honda,1514,2020,Crew Cab Pickup,Morehead City,NC
29500,RAM,41057,2019,Crew Cab Pickup,Asheboro,NC
26500,Jeep,33292,2017,SUV,Newcastle,ME
40686,Audi,3259,2019,Hatchback,Secaucus,NJ
59675,Acura,5,2020,SUV,New Castle,DE
16950,Nissan,44758,2017,SUV,Bethesda,MD
29990,Ford,28939,2016,Coupe,Conway,SC
36866,GMC,11,2020,SUV,Warminster,PA
20081,Kia,0,2020,Sedan,Woodbridge,VA
39350,Buick,13466,2020,SUV,Big Stone Gap,VA
13500,Toyota,46286,2015,Hatchback,Jenkintown,PA
31676,INFINITI,22066,2017,SUV,Victor,NY
18206,Volkswagen,10,2020,Sedan,Coconut Creek,FL
27794,Volkswagen,5,2020,SUV,Bayside,NY
20310,Hyundai,17905,2019,SUV,Charleston,WV
12990,Kia,26378,2018,Sedan,Macon,GA
13599,Nissan,42433,2017,Sedan,Raleigh,NC
13000,Hyundai,112192,2017,SUV,Webster,NY
31076,Toyota,26552,2019,Crew Cab Pickup,Stuart,FL
21999,Chevrolet,13259,2019,Sedan,Anchorage,AK
35253,Ford,3,2020,SUV,Georgetown,DE
41980,Tesla,41761,2016,Sedan,Buford,GA
18995,Dodge,54168,2016,SUV,Madison Heights,VA
17766,Toyota,33908,2019,Sedan,Holiday,FL
13990,Hyundai,24468,2017,Sedan,Philadelphia,PA
18996,Chevrolet,32893,2018,SUV,Central Square,NY
23829,Hyundai,30,2020,SUV,Cary,NC
64490,BMW,0,2020,SUV,Alpharetta,GA
25788,Jeep,27126,2019,SUV,Owings Mills,MD
51993,Ford,36799,2019,SUV,Holly Springs,GA
28818.3103,BMW,38653,2016,Coupe,South Amboy,NJ
28818.3103,Mazda,19781,2017,SUV,Easton,PA
35693,Jeep,19823,2020,SUV,Marietta,GA
23480,Mazda,47520,2018,SUV,Hagerstown,MD
34999,Mercedes-Benz,25512,2018,SUV,Ithaca,NY
37866,Chevrolet,15808,2020,Crew Cab Pickup,Lakeland,FL
34998,Lexus,14715,2019,Sedan,Pompano Beach,FL
18995,Ford,59926,2016,SUV,Tampa,FL
36955,GMC,11,2020,SUV,Lake City,FL
14990,Ford,45608,2018,Sedan,Vero Beach,FL
44470,GMC,38225,2019,SUV,Wilmington,DE
31477,Chrysler,5834,2020,Minivan,Cartersville,GA
24972,Subaru,20612,2018,Sedan,Orlando,FL
20992,Nissan,8173,2019,SUV,Wappingers Falls,NY
17999,Toyota,14064,2020,Sedan,Burlington,NC
40598,Chevrolet,18273,2018,Crew Cab Pickup,Mill Hall,PA
27000,BMW,54110,2015,Coupe,Evans,GA
29090,Jeep,0,2020,SUV,Orlando,FL
12995,Toyota,30245,2018,Sedan,Anchorage,AK
37132,Kia,10,2020,Sedan,Wilmington,DE
20988,MINI,16646,2020,SUV,Fort Myers,FL
56580,INFINITI,4,2020,SUV,Ellicott City,MD
35999,Chevrolet,31251,2017,Extended Cab Pickup,Eynon,PA
12440,Toyota,35548,2019,Sedan,Fort Myers,FL
17990,INFINITI,51221,2017,SUV,Spartanburg,SC
61645,BMW,11,2020,Sedan,Huntsville,AL
23590,Chevrolet,10567,2017,Sedan,Atlanta,GA
43855,Volkswagen,12,2021,SUV,West Palm Beach,FL
24987,Toyota,57097,2017,Sedan,Concord,NC
4700,Ford,164055,2007,Hatchback,York,PA
33215,Nissan,19,2020,Sedan,Tupelo,MS
65995,BMW,5,2020,SUV,Darien,CT
12988,Porsche,94900,2001,Convertible,Rochester,NY
37170,Toyota,22508,2019,SUV,Tallahassee,FL
29998,Lincoln,23395,2017,Sedan,Virginia Beach,VA
18990,Nissan,40880,2017,SUV,Raleigh,NC
28818.3103,Jeep,74304,2016,SUV,Zebulon,NC
12900,Volkswagen,21000,1973,SUV,Naples,FL
23555,Honda,177,2020,Sedan,Birmingham,AL
31664,Volkswagen,14,2020,SUV,Middle Township,NJ
36838,RAM,1,2019,Crew Cab Pickup,Watertown,NY
9995,Toyota,181755,2007,Extended Cab Pickup,Carrolltown,PA
28818.3103,GMC,0,2020,Crew Cab Pickup,Sussex,NJ
20774,Dodge,17,2020,SUV,Knoxville,TN
61990,Tesla,27593,2016,Sedan,Philadelphia,PA
35125,Ford,62284,2018,SUV,Hagerstown,MD
25995,BMW,41654,2016,Sedan,Geneva,NY
46055,Kia,17,2020,SUV,McDonough,GA
27449,Dodge,36332,2019,Sedan,Hendersonville,TN
25600,INFINITI,25852,2019,Sedan,Coconut Creek,FL
27731,Mazda,11,2020,SUV,Clermont,FL
20998,Volvo,19686,2017,Sedan,Roswell,GA
44750,Subaru,12,2021,SUV,Knoxville,TN
29569,Kia,5,2021,Minivan,Sunrise,FL
24867,Kia,36,2020,SUV,Franklin,TN
5990,Toyota,153912,2005,Sedan,Tampa,FL
35608,Ford,3,2020,Regular Cab Pickup,Geneva,NY
20999,Hyundai,28195,2019,SUV,Lakeland,FL
41845,BMW,322,2020,SUV,Annapolis,MD
14995,Dodge,101800,2016,Sedan,Mobile,AL
17950,Dodge,49190,2018,SUV,Mobile,AL
43630,Jeep,11,2020,SUV,Huntsville,AL
57445,RAM,0,2020,Regular Cab Pickup,Kernersville,NC
28987,Lincoln,32813,2019,SUV,Washington,PA
12999,Mazda,70000,2015,Sedan,Leesburg,VA
26320,Lincoln,22557,2017,Sedan,Athens,GA
15395,Chevrolet,80812,2015,Regular Cab Pickup,Melbourne,FL
27858,Hyundai,9,2020,Sedan,Plantation,FL
36183,Honda,2,2021,SUV,Jacksonville,FL
35990,RAM,17268,2019,Crew Cab Pickup,Atlanta,GA
28818.3103,Porsche,13247,2013,Convertible,Mt Juliet,TN
33090,Ford,10,2020,Crew Cab Pickup,Bradenton,FL
28899,Ford,47736,2018,Extended Cab Pickup,Medina,NY
22998,Honda,36337,2016,SUV,Laurel,MD
7991,Nissan,100339,2014,Sedan,Melbourne,FL
23129,Nissan,30313,2017,SUV,Knoxville,TN
27490,Ford,1,2020,Cargo Van,Seneca,SC
60875,GMC,22,2020,Crew Cab Pickup,Carrollton,GA
21130,Jeep,35009,2019,SUV,Hagerstown,MD
19590,Kia,19391,2017,SUV,Port St. Lucie,FL
30990,Lexus,22081,2017,Sedan,New York,NY
40996,BMW,1304,2020,SUV,Alpharetta,GA
23670,Mitsubishi,165,2020,SUV,St Johnsbury,VT
9694,Hyundai,58845,2014,Sedan,West Palm Beach,FL
52819,Mercedes-Benz,5,2020,Cargo Van,Rockville Centre,NY
6985,Ford,277305,2004,Crew Cab Pickup,Columbia,TN
16000,Nissan,7,2020,Sedan,Asheboro,NC
38500,Jeep,4419,2020,SUV,Tampa,FL
27950,Jaguar,63898,2015,Sedan,Fallston,MD
20797,Audi,50997,2017,SUV,West Palm Beach,FL
20450,Acura,48903,2017,SUV,Sully Station,VA
31000,Toyota,44205,2018,SUV,Gloucester,VA
30900,Chevrolet,13690,2020,Crew Cab Pickup,Jasper,GA
19980,Toyota,25927,2019,Sedan,Charlotte,NC
16367,Kia,11,2020,Hatchback,Clearwater,FL
41078,Toyota,0,2020,SUV,Glenside,PA
22990,Honda,51864,2018,Coupe,Bohemia,NY
12990,Ford,26982,2019,Hatchback,Richmond,VA
29305,Mazda,0,2020,SUV,Tampa,FL
23355,Volkswagen,7,2020,Sedan,St Augustine,FL
28700,Mazda,26620,2019,SUV,Catonsville,MD
30495,BMW,19873,2017,Sedan,West Palm Beach,FL
19998,Ford,54397,2016,Cargo Van,Nokomis,FL
35668,Chevrolet,17330,2018,Crew Cab Pickup,Oak Hill,WV
48220,Dodge,0,2020,SUV,Wantagh,NY
27528,Jeep,46760,2017,SUV,Gainesville,GA
45080,Ford,62,2020,Crew Cab Pickup,Thomaston,ME
24900,Honda,23737,2018,SUV,Cornelius,NC
45981,Audi,33851,2018,Hatchback,Fort Lauderdale,FL
22914,Nissan,2,2020,SUV,Bradenton,FL
16000,Nissan,44299,2016,SUV,Gastonia,NC
24997,RAM,108518,2015,Crew Cab Pickup,Statesville,NC
20495,Kia,11,2021,Hatchback,Easton,MD
26995,Ford,5,2020,SUV,Union City,GA
17411,Hyundai,8,2019,Sedan,Miami Gardens,FL
12472,Nissan,44354,2016,Sedan,Ripley,MS
28988,Toyota,4638,2020,SUV,New Hampton,NY
37762,Ford,48,2020,Extended Cab Pickup,Orange City,FL
25205,Nissan,5,2020,Sedan,Wernersville,PA
16490,Toyota,18597,2019,Sedan,Miami Lakes,FL
27458,Ford,5,2020,Extended Cab Pickup,Mobile,AL
37742,RAM,25,2019,Crew Cab Pickup,Chesapeake,VA
24990,Toyota,32462,2017,Sedan,Clarksville,TN
16495,GMC,80597,2012,SUV,Chantilly,VA
90475,Cadillac,0,2020,SUV,Lewisburg,PA
26265,Kia,22,2020,Minivan,Wendell,NC
25059,Hyundai,16,2020,SUV,Franklin,TN
24995,Kia,843,2020,SUV,Mentor,OH
43895,Alfa Romeo,20,2020,Sedan,Weston,FL
17900,Ford,67843,2011,Extended Cab Pickup,Salem,OH
11995,Kia,77762,2015,Sedan,South Amboy,NJ
30500,Chevrolet,19712,2020,Crew Cab Pickup,Acworth,GA
31999,INFINITI,8424,2020,SUV,Coraopolis,PA
33900,Jaguar,6233,2020,SUV,Duluth,GA
21499,Jaguar,35585,2017,Sedan,Miami,FL
18990,Dodge,90780,2014,SUV,Camp Hill,PA
41995,RAM,27717,2019,Crew Cab Pickup,Chesapeake,VA
20977,Honda,5410,2019,SUV,Fort Myers,FL
17895,Toyota,140857,2012,Crew Cab Pickup,Cullman,AL
28818.3103,RAM,33812,2019,Crew Cab Pickup,Charlotte,NC
38484,Ford,5,2020,Cargo Van,Edgefield,SC
47285,BMW,8,2020,Sedan,Sterling,VA
49420,BMW,5,2020,Sedan,Daytona Beach,FL
35999,Lincoln,66006,2017,SUV,Lugoff,SC
5495,Ford,88093,2005,Sedan,Mansfield,PA
33642,Mazda,6,2020,SUV,North Palm Beach,FL
16590,Kia,28281,2017,Sedan,Gainesville,FL
24883,Hyundai,20,2020,SUV,Matthews,NC
15433,Hyundai,3933,2020,Sedan,Palm Beach Gardens,FL
28990,Nissan,18376,2019,SUV,Orange City,FL
28590,Ford,30281,2017,SUV,Palm Bay,FL
7995,Nissan,109823,2016,Sedan,Henrico,VA
18965,Toyota,5,2020,Sedan,Sebring,FL
16945,Honda,10956,2017,Sedan,Davie,FL
28818.3103,Kia,0,2020,Sedan,Franklin,TN
78992,Cadillac,9811,2019,Sedan,Newnan,GA
17895,Kia,43989,2017,SUV,Amityville,NY
45025,RAM,18,2020,Crew Cab Pickup,Lawrence Township,NJ
30580,Chevrolet,52,2021,SUV,Orchard Park,NY
43999,INFINITI,38992,2019,SUV,Cleveland,TN
37455,Chevrolet,7,2020,Crew Cab Pickup,Greensboro,GA
17400,Mazda,57564,2016,SUV,Camp Springs,MD
20904,Jeep,35521,2018,SUV,Miami,FL
29573,Mazda,0,2020,Convertible,Orlando,FL
25695,Nissan,5,2019,SUV,Naples,FL
32918,INFINITI,18238,2017,SUV,Lockport,NY
15791,Hyundai,25947,2017,SUV,Deerfield Beach,FL
18448,Jeep,38844,2019,SUV,Marietta,GA
51380,Lincoln,5,2020,SUV,Pawleys Island,SC
28818.3103,Ford,164,2020,SUV,Hornell,NY
32520,GMC,22736,2017,SUV,Birmingham,AL
20500,MINI,29627,2017,Hatchback,Palm Harbor,FL
38060,Honda,101,2020,Minivan,Greer,SC
19500,Toyota,41612,2017,Minivan,Anchorage,AK
